city,timestamp,temperature,season
New York,2010-01-01,1.7283519847916669,winter
New York,2010-01-02,0.5095185408842455,winter
New York,2010-01-03,7.409572487557584,winter
New York,2010-01-04,-0.044948868613738924,winter
New York,2010-01-05,-8.75165449215801,winter
New York,2010-01-06,11.39907756832316,winter
New York,2010-01-07,6.45952024751554,winter
New York,2010-01-08,-3.403334692765207,winter
New York,2010-01-09,-0.2651069177767269,winter
New York,2010-01-10,-0.8045290484825689,winter
New York,2010-01-11,-0.6013109443301544,winter
New York,2010-01-12,1.2760465633449627,winter
New York,2010-01-13,2.6585525768519314,winter
New York,2010-01-14,0.6472774180988203,winter
New York,2010-01-15,-6.120590012244513,winter
New York,2010-01-16,5.183198184476945,winter
New York,2010-01-17,-4.590363977539234,winter
New York,2010-01-18,-0.48143501734144023,winter
New York,2010-01-19,4.91684221342711,winter
New York,2010-01-20,-3.0807022157578805,winter
New York,2010-01-21,-4.927039556707823,winter
New York,2010-01-22,0.2595638480805718,winter
New York,2010-01-23,8.214445497758083,winter
New York,2010-01-24,-2.693032674604343,winter
New York,2010-01-25,-2.316179127844932,winter
New York,2010-01-26,1.097058114440193,winter
New York,2010-01-27,-2.729150298474395,winter
New York,2010-01-28,-1.7267155509826488,winter
New York,2010-01-29,5.271546552461638,winter
New York,2010-01-30,-1.0697160765061084,winter
New York,2010-01-31,-1.4456972731028523,winter
New York,2010-02-01,-2.7779314137062676,winter
New York,2010-02-02,-0.07147927768795899,winter
New York,2010-02-03,-4.5200113650862255,winter
New York,2010-02-04,11.040896849715189,winter
New York,2010-02-05,3.7909567667362047,winter
New York,2010-02-06,-3.8933755356404536,winter
New York,2010-02-07,4.440753364755942,winter
New York,2010-02-08,-4.447417205047856,winter
New York,2010-02-09,-4.137886806240667,winter
New York,2010-02-10,5.959278534628192,winter
New York,2010-02-11,5.369201299524761,winter
New York,2010-02-12,-3.492663728826997,winter
New York,2010-02-13,0.9201315740763347,winter
New York,2010-02-14,2.022147394172524,winter
New York,2010-02-15,6.523641794062655,winter
New York,2010-02-16,-3.385534156129647,winter
New York,2010-02-17,3.3774686470256077,winter
New York,2010-02-18,1.9438193186201593,winter
New York,2010-02-19,-7.50653256603878,winter
New York,2010-02-20,2.457264734004094,winter
New York,2010-02-21,3.6681724458753235,winter
New York,2010-02-22,-0.3562320987579528,winter
New York,2010-02-23,3.9205556482931367,winter
New York,2010-02-24,11.456781490556601,winter
New York,2010-02-25,-0.3800844627406122,winter
New York,2010-02-26,-5.6169812768871,winter
New York,2010-02-27,-1.1972510486670798,winter
New York,2010-02-28,-5.22204940772432,winter
New York,2010-03-01,23.36841255334116,spring
New York,2010-03-02,1.0501982536308663,spring
New York,2010-03-03,11.600256708871,spring
New York,2010-03-04,3.3382421482309765,spring
New York,2010-03-05,17.276056427676036,spring
New York,2010-03-06,7.047221256572594,spring
New York,2010-03-07,8.797824698939039,spring
New York,2010-03-08,16.122661202307356,spring
New York,2010-03-09,6.665079304971577,spring
New York,2010-03-10,3.4947127494516748,spring
New York,2010-03-11,10.82906635814577,spring
New York,2010-03-12,8.514040704342628,spring
New York,2010-03-13,6.334003685993738,spring
New York,2010-03-14,9.57407911580059,spring
New York,2010-03-15,10.262762073836617,spring
New York,2010-03-16,9.860229074714118,spring
New York,2010-03-17,20.05631659614331,spring
New York,2010-03-18,9.410950086328837,spring
New York,2010-03-19,13.553917113986456,spring
New York,2010-03-20,17.748879703231534,spring
New York,2010-03-21,7.979146561092038,spring
New York,2010-03-22,9.96987558854107,spring
New York,2010-03-23,9.15963017447439,spring
New York,2010-03-24,3.816190266585213,spring
New York,2010-03-25,5.310725870722487,spring
